Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Vendor Qty 1	Vendor Qty 2	Vendor Qty 3	Customer Ref	Price Qty 1	Price Qty 2	Price Qty 3	Vendor Reel Part Num	Vendor Link	Datasheet Link	VID2	Vendor 2 Part Num	Vendor 2 Derivate Part Num	Vendor 2 Price Qty 1	Vendor 2 Link
LD1117AS33	STMicroelectronics	DK	497-1228-1-ND	IC REG LDO 3.3V 1.2A SOT-223	10	100	250		0.84000	0.66300	0.57460	497-1228-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=497-1228-1-ND	http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00002116.pdf	ME	511-LD1117AS33	LD1117AS33TR	0.477	http://at.mouser.com/ProductDetail/STMicroelectronics/LD1117AS33TR/?qs=C3bf%2fVrkE5CoDDd7wyn%252baQ%3d%3d
EVQP7J01K	Panasonic - ECG	DK	P12278SCT-ND	SWITCH LT 3.5MMX2.9MM 160GF SMD	10	100	500		0.73400	0.61630	0.52826	P12278SDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=P12278SCT-ND	http://industrial.panasonic.com/www-data/pdf/ATK0000/ATK0000CE20.pdf					
SN74LVC2T45	Texas Instruments	DK	296-17014-1-ND	Translator, Bidirectional, 3-State, 2bits	1	25	100		0.79000	0.61200	0.54000	296-17014-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-17014-1-ND	http://focus.ti.com/lit/ds/symlink/sn74lvc2t45.pdf	ME	595-SN74LVC2T45DCUR	SN74LVC2T45DCUR	0.766	http://at.mouser.com/ProductDetail/Texas-Instruments/SN74LVC2T45DCUR/?qs=0smPjiIwnfIdG9vxyJHBdA%3d%3d
BKP1005HS121-T	Taiyo Yuden	DK	587-1921-1-ND	FERRITE BEAD 120 OHM 0402	10	100	500		0.20000	0.08000	0.04100	587-1921-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=587-1921-1-ND	http://www.yuden.co.jp/us/product/pdf/ebkp_e.pdf	ME	81-BLM15PD121SN1D	BLM15PD121SN1D	0.107	http://at.mouser.com/ProductDetail/Murata/BLM15PD121SN1D/?qs=sGAEpiMZZMvgExXaNlWje%2fYJEy227vp0QOj%2fvL%252bjfcU%3d
BM06B-SRSS-TB	JST	DK	455-1792-1-ND	CONN HEADER SH 6POS TOP 1MM TIN	10	100	500		0.66000	0.55040	0.44030	455-1792-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=455-1792-1-ND	http://www.jst-mfg.com/product/pdf/eng/eSH.pdf					
GRM155F51C474ZA01D	Murata Electronics	DK	490-3274-1-ND	CAP CER .47UF 16V Y5V 0402	10	100	500		0.04400	0.02600	0.01500	490-3274-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=490-3274-1-ND	http://search.murata.co.jp/Ceramy/image/img/PDF/ENG/GRM155F51C474ZA01.pdf
53261-15	Molex Inc	DK	WM7632CT-ND	CONN HEADER 15POS 1.25MM R/A SMD	10	50	100		2.19900	1.89920	1.69930	WM7632DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=WM7632CT-ND	http://www.molex.com/pdm_docs/sd/532611571_sd.pdf	ME	538-53261-1571	53261-1571	3.79	http://at.mouser.com/ProductDetail/Molex/53261-1571/?qs=sGAEpiMZZMticT%2fTNjssTkTynroYBL5J
CC0402KRX7R7BB103	Yageo	DK	311-1042-1-ND	CAP 10000PF 16V CERAMIC X7R 0402	10	100	500		0.01100	0.00670	0.00386	311-1042-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1042-1-ND	http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf	ME	810-C1005X7R1C103K	C1005X7R1C103K	0.032	http://at.mouser.com/ProductDetail/TDK/C1005X7R1C103K/?qs=sGAEpiMZZMvQvaS66kI3ToxS7c2J4e237rb4UXwcIBM%3d
C1005Y5V1C224Z	TDK Corporation	DK	445-3444-1-ND	CAP CER .22UF 16V Y5V 0402	10	100	500		0.03000	0.01760	0.01012	445-3444-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=445-3444-1-ND	http://www.tdk.com/pdf/general_A11.pdf
C1608Y5V0J475Z	TDK Corporation	DK	445-3449-1-ND	CAP CER 4.7UF 6.3V Y5V 0603	10	100	500		0.12100	0.07150	0.04126	445-3449-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=445-3449-1-ND	http://www.tdk.com/pdf/general_A11.pdf	ME	810-C1608X5R0J475M	C1608X5R0J475M	0.095	http://at.mouser.com/ProductDetail/TDK/C1608X5R0J475M/?qs=sGAEpiMZZMvQvaS66kI3Tt5K2onxAczgRH8Wm%2fmpn2c%3d
CC0402KRX7R9BB471	Yageo	DK	311-1028-1-ND	CAP 470PF 50V CERAMIC X7R 0402	10	100	500		0.01100	0.00670	0.00386	311-1028-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1028-1-ND	http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf
LTST-C193KGKT-5A	Lite-On Inc	DK	160-1828-1-ND	LED GREEN RECT CLEAR 0603	10	100	250		0.33300	0.19610	0.13876	160-1828-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=160-1828-1-ND	http://optoelectronics.liteon.com/en-us/api/DwonloadFileHandler.ashx?txtSpecNo=DS22-2007-0094&txtPartNo=LTST-C193KGKT-5A	ME	859-LTSTC193KGKT5A	LTST-C193KGKT-5A	0.095	http://at.mouser.com/ProductDetail/Lite-On/LTST-C193KGKT-5A/?qs=sGAEpiMZZMtEjy7lsqBi5fLvGOUBcO0bIk%2fLkyFaocM%3d
LNJ437W84RA	Panasonic - SSG	DK	LNJ437W84RACT-ND	LED AMBER HIGH BRIGHT ESS SMD	1	25	100		0.53000	0.31000	0.25000	LNJ437W84RADKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=LNJ437W84RACT-ND	http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+SC+4+ATA7003+LNJ437W84RA+8+WW	ME	859-LTSTC193KFKT5A	LTST-C193KFKT-5A	0.107	http://at.mouser.com/ProductDetail/Lite-On/LTST-C193KFKT-5A/?qs=sGAEpiMZZMtEjy7lsqBi5bC2XNxVFiT1S8BN7fygZ%2fY%3d
LNJ937W8CRA	Panasonic - SSG	DK	LNJ937W8CRACT-ND	LED BLUE HIGH BRIGHT ESS SMD	1	25	100		0.48000	0.31680	0.26000	LNJ937W8CRADKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=LNJ937W8CRACT-ND	http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+SC+4+ATA7003+LNJ937W8CRA+8+WW	ME	859-LTSTC193TBKT5A	LTST-C193TBKT-5A	0.298	http://at.mouser.com/ProductDetail/Lite-On/LTST-C193TBKT-5A/?qs=sGAEpiMZZMtEjy7lsqBi5bC2XNxVFiT1QaUoqu1kG60%3d
TXB0102DCUR	Texas Instruments	DK	296-22862-1-ND	IC VOLT-LVL TRANSL BI-DIR 8-US8	1	25	100		1.48000	1.17000	1.05300	296-22862-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-22862-1-ND	http://focus.ti.com/lit/ds/symlink/txb0102.pdf	ME	595-TXB0102DCUR	TXB0102DCUR	1.55	http://at.mouser.com/ProductDetail/Texas-Instruments/TXB0102DCUR/?qs=sGAEpiMZZMsty6Jaj0%252bBBsMF3VbNM0929UnYQvFKVv0%3d
MF-FSMF050X-2	Bourns Inc.	DK	MF-FSMF050X-2CT-ND	FUSE PTC RESET 500MA SMD 0603	10	100	500		0.36000	0.33000	0.31200	MF-FSMF050X-2DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MF-FSMF050X-2CT-ND	http://www.bourns.com/data/global/pdfs/mffsmf.pdf	ME	652-MFFSMF050X-2	MF-FSMF050X-2	0.448	http://at.mouser.com/ProductDetail/Bourns/MF-FSMF050X-2/?qs=3QkGRBNOvbrZekaW8Gqm4A%3d%3d
MF-FSMF020X-2	Bourns Inc.	DK	MF-FSMF020X-2CT-ND	FUSE PTC RESET 200MA SMD 0603	10	100	500		0.36000	0.33000	0.31200	MF-FSMF020X-2DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MF-FSMF020X-2CT-ND	http://www.bourns.com/data/global/pdfs/mffsmf.pdf	ME	652-MFFSMF020X-2	MF-FSMF020X-2	0.448	http://at.mouser.com/ProductDetail/Bourns/MF-FSMF020X-2/?qs=3QkGRBNOvbqaTWjqPUQNsg%3d%3d
C1608Y5V1C225Z	TDK Corporation	DK	445-3451-1-ND	CAP CER 2.2UF 16V Y5V 0603	10	100	500		0.08800	0.05200	0.03000	445-3451-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=445-3451-1-ND	http://www.tdk.com/pdf/general_A11.pdf	ME	810-C1608Y5V1C225Z	C1608Y5V1C225Z	0.085	http://at.mouser.com/ProductDetail/TDK/C1608Y5V1C225Z/?qs=sGAEpiMZZMvQvaS66kI3Tk6Pvfi1sRGO1Mj%252bJU27Qrg%3d
RMCF0402FT1K00	Stackpole Electronics Inc	DK	RMCF0402FT1K00CT-ND	RES 1K OHM 1/16W 1% 0402 SMD	10	50	100		0.02500	0.01380	0.01050	RMCF0402FT1K00DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF0402FT1K00CT-ND	http://www.seielect.com/Catalog/SEI-RMC.pdf	ME	304-10K-RC	304-10K-RC	0.045	http://at.mouser.com/ProductDetail/Xicon/304-10K-RC/?qs=sGAEpiMZZMtlubZbdhIBINueVGhVQeMGO7xlyuZ50gA%3d
CC0402JRNP09BN100	Yageo	DK	311-1014-1-ND	CAP CERAMIC 10PF 50V NP0 0402	10	100	500		0.01200	0.00700	0.00406	311-1014-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1014-1-ND	http://www.yageo.com/documents/recent/UPY-GP_NP0_16V-to-50V_6.pdf	ME	581-04023U100JAT2A	04023U100JAT2A	0.032	http://at.mouser.com/ProductDetail/AVX/04023U100JAT2A/?qs=sGAEpiMZZMvQvaS66kI3TihUrlW%252bJjiJUf9DY1cdM5I%3d
RC0402FR-0739K2L	Yageo	DK	311-39.2KLRCT-ND	RES 39.2K OHM 1/16W 1% 0402 SMD	10	50	200		0.06700	0.03620	0.02085	311-39.2KLRDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-39.2KLRCT-ND	http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf	ME	304-39.2K-RC	304-39.2K-RC	0.045	http://at.mouser.com/ProductDetail/Xicon/304-392K-RC/?qs=sGAEpiMZZMtG0KNrPCHnjZ81IsZ41qnEdwGMvS7VK3o%3d
RMCF0402JT1K00	Stackpole Electronics Inc	DK	RMCF0402JT1K00CT-ND	RES 1K OHM 1/16W 5% 0402 SMD	10	50	100		0.01700	0.00920	0.00700	RMCF0402JT1K00DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF0402JT1K00CT-ND	http://www.seielect.com/Catalog/SEI-RMC.pdf
RMCF0402JT4K70	Stackpole Electronics Inc	DK	RMCF0402JT4K70CT-ND	RES 4.7K OHM 1/16W 5% 0402 SMD	10	50	100		0.01700	0.00920	0.00700	RMCF0402JT4K70DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF0402JT4K70CT-ND	http://www.seielect.com/Catalog/SEI-RMC.pdf
RMCF0402JT100R	Stackpole Electronics Inc	DK	RMCF0402JT100RCT-ND	RES 100 OHM 1/16W 5% 0402 SMD	10	50	100		0.01700	0.00920	0.00700	RMCF0402JT100RDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF0402JT100RCT-ND	http://www.seielect.com/Catalog/SEI-RMC.pdf
RMCF0402JT220R	Stackpole Electronics Inc	DK	RMCF0402JT220RCT-ND	RES 220 OHM 1/16W 5% 0402 SMD	10	50	100		0.01700	0.00920	0.00700	RMCF0402JT220RDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF0402JT220RTR-ND	http://www.seielect.com/Catalog/SEI-RMC.pdf
RMCF0402ZT0R00	Stackpole Electronics Inc	DK	RMCF0402ZT0R00CT-ND	RES 0.0 OHM 1/16W 0402 SMD	10	50	100		0.01700	0.00920	0.00700	RMCF0402ZT0R00DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF0402ZT0R00CT-ND	http://www.seielect.com/Catalog/SEI-RMC.pdf
ERJ-2GEJ680X	Panasonic - ECG	DK	P68JCT-ND	RES 68 OHM 1/10W 5% 0402 SMD	1	50	100		0.05000	0.01720	0.01310	P68JDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=P68JCT-ND	http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ2GEJ680X+7+WW
RMCF0402JT22R0	Stackpole Electronics Inc	DK	RMCF0402JT22R0CT-ND	RES TF 22 OHM 5% 1/16W 0402	10	50	100		0.01700	0.00920	0.00700	RMCF0402JT22R0DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF0402JT22R0CT-ND	http://www.seielect.com/Catalog/SEI-RMC.pdf
STM32F205RGT6	STMicroelectronics													http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00237391.pdf
CC0402ZRY5V7BB104	TDK	ME	810-C1005X7R1C104M	CAP .10UF 16V CERAMIC Y7R 0402	10	100	500		0.032	0.01	0.009	810-C1005X7R1C104M	http://at.mouser.com/ProductDetail/TDK/C1005X7R1C104M/?qs=sGAEpiMZZMvQvaS66kI3Ts8kcYAvnUrc2X3P8fTRlAY%3d	http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf
SM06B-SRSS-TB	JST	DK	455-1806-1-ND	CONN HEADER SH 6POS SIDE 1MM TIN	10	100	500		0.65300	0.54450	0.43560	455-1806-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=455-1806-1-ND	http://www.jst-mfg.com/product/pdf/eng/eSH.pdf					
RMCF0402FT10K0	Stackpole Electronics Inc	DK	RMCF0402FT10K0CT-ND	RES 10K OHM 1/16W 1% 0402 SMD	10	50	250		0.02500	0.01380	0.00780	RMCF0402FT10K0DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RMCF0402FT10K0CT-ND	http://www.seielect.com/Catalog/SEI-RMC.pdf					
ABM3B-8.000MHZ-10-1-U-T	Abracon Corporation	DK	535-9721-1-ND	CRYSTAL 8.000 MHZ 10PF SMD	10	50	100		2.04800	1.79560	1.41750	535-9721-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=535-9721-1-ND	http://www.abracon.com/Resonators/abm3b.pdf	ME	815-ABM3B-8.0-B2-T	ABM3B-8.000MHZ-B2-T	1.01	http://at.mouser.com/ProductDetail/ABRACON/ABM3B-8000MHZ-B2-T/?qs=NE97hfUNX0Ef9OqIOqO2cA%3d%3d
STM32F100C6T6B	STMicroelectronics	DK	497-10500-ND	MCU 32BIT ARM 32K FLASH 48LQFP	10	100	250		2.55000	2.09100	1.88700		http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=497-10500-ND	http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00251732.pdf	ME	511-STM32F100C6T6B	STM32F100C6T6B	2.77	http://at.mouser.com/ProductDetail/STMicroelectronics/STM32F100C6T6B/?qs=sGAEpiMZZMs%2f2%2fdgfKIueKwtjHOoM53O
PTH08080WAH	Texas Instruments	DK	296-20432-ND	MODULE PIP .9-5.5V 2.25A HORZ TH	1	25	100		10.75000	8.81520	7.95500		http://search.digikey.com/scripts/DkSearch/dksus.dll?vendor=0&keywords=PTH08080WAH&stock=1	http://focus.ti.com/lit/ds/symlink/pth08080w.pdf	ME	595-PTH08080WAH	PTH08080WAH	11.30	http://at.mouser.com/ProductDetail/Texas-Instruments/PTH08080WAH/?qs=sGAEpiMZZMuo%252bmZx5g6tFE82QReiwhO7
53047-02	Molex Inc	DK	WM1731-ND	CONN HEADER 2POS 1.25MM VERT TIN	50	100	250		0.27780	0.23950	0.21076		http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=53047-02&x=0&y=0	http://www.molex.com/pdm_docs/sd/530470210_sd.pdf					
53047-03	Molex Inc	DK	WM1732-ND	CONN HEADER 3POS 1.25MM VERT TIN	50	100	250		0.34200	0.29480	0.25940		http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=3047-03&x=0&y=0	http://www.molex.com/pdm_docs/sd/530470310_sd.pdf					
53047-04	Molex Inc	DK	WM1733-ND	CONN HEADER 4POS 1.25MM VERT TIN	50	100	250		0.37800	0.32900	0.28000		http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=53047-04&x=0&y=0	http://www.molex.com/pdm_docs/sd/530470410_sd.pdf					
53047-05	Molex Inc	DK	WM1734-ND	CONN HEADER 5POS 1.25MM VERT TIN	50	100	250		0.48160	0.41920	0.35680		http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=53047-05&x=0&y=0	http://www.molex.com/pdm_docs/sd/530470510_sd.pdf					
T491X107K025ZT	Kemet	DK	399-5175-1-ND	CAP TANT 100UF 25V 10% SMD	10	25	100		2.45300	2.34480	2.16450	399-5175-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=399-5175-1-ND	http://www.kemet.com/datasheets&T491X107K025ZT					
T491A475K010AT	Kemet	DK	399-3696-1-ND	CAPACITOR TANT 4.7UF 10V 10% SMD	10	100	250		0.34900	0.21000	0.15752	399-3696-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=399-3696-1-ND	http://www.kemet.com/datasheets&T491A475K010AT					
TC164-JR-07100RL	Yageo	DK	TC164J-100CT-ND	RES ARRAY 100 OHM 8TRM 4 RES SMD	10	100	500		0.01200	0.01030	0.00736	TC164J-100DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=TC164J-100CT-ND	http://www.yageo.com/documents/recent/PYu-YC_TC164_51_RoHS_L_3.pdf					
SN74LVC8T245DBQR	Texas Instruments	DK	296-23279-1-ND	IC BUS TRANSCVR 8BIT 24QSOP	1	25	100		1.33000	1.05000	0.94500	296-23279-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=296-23279-1-ND	http://focus.ti.com/lit/ds/symlink/sn74lvc8t245.pdf					
S3B-ZR-SM4A-TF	JST	DK	455-1694-1-ND	CONN HEADER ZH SIDE 3POS 1.5MM	1	10	100		0.56000	0.51600	0.43000	455-1694-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=455-1694-1-ND						
TLP3123(F)	Toshiba	DK	TLP3123F-ND	PHOTORELAY MOSFET 1A 4-SOP	10	100	250		3.15000	2.45000	2.32752		http://search.digikey.com/scripts/DkSearch/dksus.dll?WT.z_header=search_go&lang=en&site=us&keywords=TLP+3123+SO&x=0&y=0	http://www.semicon.toshiba.co.jp/docs/datasheet/en/Opto/TLP3123_en_datasheet_071001.pdf					
AP2151WG-7	Diodes Inc	DK	AP2151WGDICT-ND	IC PWR SW USB 1CH 0.5A SOT-25-5	10	100	250		0.85500	0.67500	0.58500		http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=AP2151WGDICT-ND	http://www.diodes.com/datasheets/AP2141_51.pdf					
74LVC2GU04GW,125	NXP Semiconductors	DK	568-4843-1-ND	IC DUAL INVERTER SC88-6	1	25	100		0.52000	0.34280	0.28160	568-4843-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=568-4843-1-ND	http://www.nxp.com/documents/data_sheet/74LVC2GU04.pdf					
